┌─────────┬──────┬──────┬──────┬──────┬───────┬────────────────────┬───────────┬─────────┬────────────────────┬────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬────┬────────┬─────┬─────┬──────┬───────┬────────────────────┬───────────┬───────────────┐
│ (index) │  c   │  h   │  l   │  o   │  bu   │       val_bu       │ total_vol │ sum_vol │        val         │  acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │ sb │  abu   │ asd │ auk │ rbu  │ bu-sd │     bu-sd_val      │ acum_busd │ acum_busd_val │
│   16    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 4800  │      22320000      │  220100   │  4800   │      22320000      │ 1023465000 │ 1670841300000 │ '2022-12-12T10:35:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.6  │ 4800  │      22320000      │  220100   │  1023465000   │
│   17    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 11000 │      51150000      │  231100   │  11000  │      51150000      │ 1074615000 │ 1670841600000 │ '2022-12-12T10:40:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 1.5  │ 11000 │      51150000      │  231100   │  1074615000   │
│   18    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 1700  │      7905000       │  232800   │  1700   │      7905000       │ 1082520000 │ 1670841900000 │ '2022-12-12T10:45:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.2  │ 1700  │      7905000       │  232800   │  1082520000   │
│   19    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 3100  │      14415000      │  235900   │  3100   │      14415000      │ 1096935000 │ 1670842200000 │ '2022-12-12T10:50:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.4  │ 3100  │      14415000      │  235900   │  1096935000   │
│   20    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 2200  │      10230000      │  238100   │  2200   │      10230000      │ 1107165000 │ 1670842500000 │ '2022-12-12T10:55:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.3  │ 2200  │      10230000      │  238100   │  1107165000   │
├─────────┼──────┼──────┼──────┼──────┼───────┼────────────────────┼───────────┼─────────┼────────────────────┼────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼────┼────────┼─────┼─────┼──────┼───────┼────────────────────┼───────────┼───────────────┤
│ (index) │  c   │  h   │  l   │  o   │  bu   │       val_bu       │ total_vol │ sum_vol │        val         │  acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │ sb │  abu   │ asd │ auk │ rbu  │ bu-sd │     bu-sd_val      │ acum_busd │ acum_busd_val │
├─────────┼──────┼──────┼──────┼──────┼───────┼────────────────────┼───────────┼─────────┼────────────────────┼────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼────┼────────┼─────┼─────┼──────┼───────┼────────────────────┼───────────┼───────────────┤
│   21    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 5800  │      26970000      │  243900   │  5800   │      26970000      │ 1134135000 │ 1670842800000 │ '2022-12-12T11:00:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.8  │ 5800  │      26970000      │  243900   │  1134135000   │
│   22    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 2100  │      9765000       │  246000   │  2100   │      9765000       │ 1143900000 │ 1670843100000 │ '2022-12-12T11:05:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.3  │ 2100  │      9765000       │  246000   │  1143900000   │
│   23    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 1400  │      6510000       │  247400   │  1400   │      6510000       │ 1150410000 │ 1670843700000 │ '2022-12-12T11:15:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.2  │ 1400  │      6510000       │  247400   │  1150410000   │
│   24    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 2000  │      9300000       │  249400   │  2000   │      9300000       │ 1159710000 │ 1670844000000 │ '2022-12-12T11:20:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.3  │ 2000  │      9300000       │  249400   │  1159710000   │
│   25    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 4100  │      19065000      │  253500   │  4100   │      19065000      │ 1178775000 │ 1670844300000 │ '2022-12-12T11:25:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.5  │ 4100  │      19065000      │  253500   │  1178775000   │
│   26    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 7000  │      32550000      │  260500   │  7000   │      32550000      │ 1211325000 │ 1670850000000 │ '2022-12-12T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.9  │ 7000  │      32550000      │  260500   │  1211325000   │
│   27    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 1200  │      5580000       │  261700   │  1200   │      5580000       │ 1216905000 │ 1670850300000 │ '2022-12-12T13:05:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.2  │ 1200  │      5580000       │  261700   │  1216905000   │
│   28    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 3300  │      15345000      │  265000   │  3300   │      15345000      │ 1232250000 │ 1670850600000 │ '2022-12-12T13:10:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.4  │ 3300  │      15345000      │  265000   │  1232250000   │
│   29    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │  100  │ 465000.00000000006 │  265100   │   100   │ 465000.00000000006 │ 1232715000 │ 1670850900000 │ '2022-12-12T13:15:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │  0   │  100  │ 465000.00000000006 │  265100   │  1232715000   │
│   30    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 2800  │      13020000      │  267900   │  2800   │      13020000      │ 1245735000 │ 1670851500000 │ '2022-12-12T13:25:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.4  │ 2800  │      13020000      │  267900   │  1245735000   │
│   31    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │  200  │ 930000.0000000001  │  268100   │   200   │ 930000.0000000001  │ 1246665000 │ 1670852100000 │ '2022-12-12T13:35:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │  0   │  200  │ 930000.0000000001  │  268100   │  1246665000   │
│   32    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 3700  │      17205000      │  271800   │  3700   │      17205000      │ 1263870000 │ 1670852400000 │ '2022-12-12T13:40:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.5  │ 3700  │      17205000      │  271800   │  1263870000   │
│   33    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │  900  │      4185000       │  272700   │   900   │      4185000       │ 1268055000 │ 1670852700000 │ '2022-12-12T13:45:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.1  │  900  │      4185000       │  272700   │  1268055000   │
│   34    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 2900  │      13485000      │  275600   │  2900   │      13485000      │ 1281540000 │ 1670853000000 │ '2022-12-12T13:50:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.4  │ 2900  │      13485000      │  275600   │  1281540000   │
│   35    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 1000  │      4650000       │  276600   │  1000   │      4650000       │ 1286190000 │ 1670854500000 │ '2022-12-12T14:15:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.1  │ 1000  │      4650000       │  276600   │  1286190000   │
│   36    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 1500  │ 6975000.000000001  │  278100   │  1500   │ 6975000.000000001  │ 1293165000 │ 1670856300000 │ '2022-12-12T14:45:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.2  │ 1500  │ 6975000.000000001  │  278100   │  1293165000   │
└─────────┴──────┴──────┴──────┴──────┴───────┴────────────────────┴───────────┴─────────┴────────────────────┴────────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴────┴────────┴─────┴─────┴──────┴───────┴────────────────────┴───────────┴───────────────┘

