┌─────────┬───────┬───────┬───────┬───────┬────────┬────────────┬───────────┬─────────┬────────────┬─────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬────┬──────────┬─────┬────────┬─────┬──────┬─────────┬─────────────┬───────────┬───────────────┐
│ (index) │   c   │   h   │   l   │   o   │   sd   │   val_sd   │ total_vol │ sum_vol │    val     │  acum_val   │   datetime    │            date            │ pbu │ psd │ puk │ bs │    sb    │ abu │  asd   │ auk │ rsd  │  bu-sd  │  bu-sd_val  │ acum_busd │ acum_busd_val │
│   31    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │ 12900  │ 161895000  │  485100   │  12900  │ 161895000  │ 6088005000  │ 1670840280000 │ '2022-12-12T10:18:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 1.5  │ -12900  │ -161895000  │  -485100  │  -6088005000  │
│   32    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │ 38900  │ 488195000  │  524000   │  38900  │ 488195000  │ 6576200000  │ 1670840400000 │ '2022-12-12T10:20:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 4.4  │ -38900  │ -488195000  │  -524000  │  -6576200000  │
│   33    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │ 10200  │ 128010000  │  534200   │  10200  │ 128010000  │ 6704210000  │ 1670840520000 │ '2022-12-12T10:22:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 1.2  │ -10200  │ -128010000  │  -534200  │  -6704210000  │
│   34    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  900   │  11295000  │  535100   │   900   │  11295000  │ 6715505000  │ 1670840640000 │ '2022-12-12T10:24:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.1  │  -900   │  -11295000  │  -535100  │  -6715505000  │
│   35    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  3200  │  40160000  │  538300   │  3200   │  40160000  │ 6755665000  │ 1670840880000 │ '2022-12-12T10:28:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.4  │  -3200  │  -40160000  │  -538300  │  -6755665000  │
│   36    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  200   │  2510000   │  538500   │   200   │  2510000   │ 6758175000  │ 1670841000000 │ '2022-12-12T10:30:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │  0   │  -200   │  -2510000   │  -538500  │  -6758175000  │
│   37    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  800   │  10040000  │  539300   │   800   │  10040000  │ 6768215000  │ 1670841120000 │ '2022-12-12T10:32:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.1  │  -800   │  -10040000  │  -539300  │  -6768215000  │
│   38    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  2100  │  26355000  │  541400   │  2100   │  26355000  │ 6794570000  │ 1670841360000 │ '2022-12-12T10:36:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.2  │  -2100  │  -26355000  │  -541400  │  -6794570000  │
│   39    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  6000  │  75300000  │  547400   │  6000   │  75300000  │ 6869870000  │ 1670841480000 │ '2022-12-12T10:38:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.7  │  -6000  │  -75300000  │  -547400  │  -6869870000  │
│   40    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  500   │  6275000   │  547900   │   500   │  6275000   │ 6876145000  │ 1670841600000 │ '2022-12-12T10:40:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.1  │  -500   │  -6275000   │  -547900  │  -6876145000  │
├─────────┼───────┼───────┼───────┼───────┼────────┼────────────┼───────────┼─────────┼────────────┼─────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼────┼──────────┼─────┼────────┼─────┼──────┼─────────┼─────────────┼───────────┼───────────────┤
│ (index) │   c   │   h   │   l   │   o   │   sd   │   val_sd   │ total_vol │ sum_vol │    val     │  acum_val   │   datetime    │            date            │ pbu │ psd │ puk │ bs │    sb    │ abu │  asd   │ auk │ rsd  │  bu-sd  │  bu-sd_val  │ acum_busd │ acum_busd_val │
├─────────┼───────┼───────┼───────┼───────┼────────┼────────────┼───────────┼─────────┼────────────┼─────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼────┼──────────┼─────┼────────┼─────┼──────┼─────────┼─────────────┼───────────┼───────────────┤
│   41    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  500   │  6275000   │  548400   │   500   │  6275000   │ 6882420000  │ 1670841720000 │ '2022-12-12T10:42:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.1  │  -500   │  -6275000   │  -548400  │  -6882420000  │
│   42    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  1300  │  16315000  │  549700   │  1300   │  16315000  │ 6898735000  │ 1670841840000 │ '2022-12-12T10:44:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.1  │  -1300  │  -16315000  │  -549700  │  -6898735000  │
│   43    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  100   │  1255000   │  549800   │   100   │  1255000   │ 6899990000  │ 1670842080000 │ '2022-12-12T10:48:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │  0   │  -100   │  -1255000   │  -549800  │  -6899990000  │
│   44    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  300   │  3765000   │  550100   │   300   │  3765000   │ 6903755000  │ 1670842200000 │ '2022-12-12T10:50:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │  0   │  -300   │  -3765000   │  -550100  │  -6903755000  │
│   45    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  300   │  3765000   │  550400   │   300   │  3765000   │ 6907520000  │ 1670842320000 │ '2022-12-12T10:52:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │  0   │  -300   │  -3765000   │  -550400  │  -6907520000  │
│   46    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  600   │  7530000   │  551000   │   600   │  7530000   │ 6915050000  │ 1670842440000 │ '2022-12-12T10:54:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.1  │  -600   │  -7530000   │  -551000  │  -6915050000  │
│   47    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │ 10800  │ 135540000  │  561800   │  10800  │ 135540000  │ 7050590000  │ 1670842560000 │ '2022-12-12T10:56:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 1.2  │ -10800  │ -135540000  │  -561800  │  -7050590000  │
│   48    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  200   │  2510000   │  562000   │   200   │  2510000   │ 7053100000  │ 1670842920000 │ '2022-12-12T11:02:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │  0   │  -200   │  -2510000   │  -562000  │  -7053100000  │
│   49    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  1200  │  15060000  │  563200   │  1200   │  15060000  │ 7068160000  │ 1670843040000 │ '2022-12-12T11:04:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.1  │  -1200  │  -15060000  │  -563200  │  -7068160000  │
│   50    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  400   │  5020000   │  563600   │   400   │  5020000   │ 7073180000  │ 1670843160000 │ '2022-12-12T11:06:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │  0   │  -400   │  -5020000   │  -563600  │  -7073180000  │
│   51    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  500   │  6275000   │  564100   │   500   │  6275000   │ 7079455000  │ 1670843280000 │ '2022-12-12T11:08:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.1  │  -500   │  -6275000   │  -564100  │  -7079455000  │
│   52    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  200   │  2510000   │  564300   │   200   │  2510000   │ 7081965000  │ 1670843400000 │ '2022-12-12T11:10:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │  0   │  -200   │  -2510000   │  -564300  │  -7081965000  │
│   53    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  1200  │  15060000  │  565500   │  1200   │  15060000  │ 7097025000  │ 1670843520000 │ '2022-12-12T11:12:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.1  │  -1200  │  -15060000  │  -565500  │  -7097025000  │
│   54    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  300   │  3765000   │  565800   │   300   │  3765000   │ 7100790000  │ 1670843640000 │ '2022-12-12T11:14:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │  0   │  -300   │  -3765000   │  -565800  │  -7100790000  │
│   55    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  100   │  1255000   │  565900   │   100   │  1255000   │ 7102045000  │ 1670843760000 │ '2022-12-12T11:16:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │  0   │  -100   │  -1255000   │  -565900  │  -7102045000  │
│   56    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  100   │  1255000   │  566000   │   100   │  1255000   │ 7103300000  │ 1670843880000 │ '2022-12-12T11:18:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │  0   │  -100   │  -1255000   │  -566000  │  -7103300000  │
│   57    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  1000  │  12550000  │  567000   │  1000   │  12550000  │ 7115850000  │ 1670844000000 │ '2022-12-12T11:20:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.1  │  -1000  │  -12550000  │  -567000  │  -7115850000  │
│   58    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  100   │  1255000   │  567100   │   100   │  1255000   │ 7117105000  │ 1670844240000 │ '2022-12-12T11:24:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │  0   │  -100   │  -1255000   │  -567100  │  -7117105000  │
│   59    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  600   │  7530000   │  567700   │   600   │  7530000   │ 7124635000  │ 1670844360000 │ '2022-12-12T11:26:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.1  │  -600   │  -7530000   │  -567700  │  -7124635000  │
│   60    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │ 17000  │ 213350000  │  584700   │  17000  │ 213350000  │ 7337985000  │ 1670850000000 │ '2022-12-12T13:00:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 1.9  │ -17000  │ -213350000  │  -584700  │  -7337985000  │
├─────────┼───────┼───────┼───────┼───────┼────────┼────────────┼───────────┼─────────┼────────────┼─────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼────┼──────────┼─────┼────────┼─────┼──────┼─────────┼─────────────┼───────────┼───────────────┤
│ (index) │   c   │   h   │   l   │   o   │   sd   │   val_sd   │ total_vol │ sum_vol │    val     │  acum_val   │   datetime    │            date            │ pbu │ psd │ puk │ bs │    sb    │ abu │  asd   │ auk │ rsd  │  bu-sd  │  bu-sd_val  │ acum_busd │ acum_busd_val │
├─────────┼───────┼───────┼───────┼───────┼────────┼────────────┼───────────┼─────────┼────────────┼─────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼────┼──────────┼─────┼────────┼─────┼──────┼─────────┼─────────────┼───────────┼───────────────┤
│   61    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  1500  │  18825000  │  586200   │  1500   │  18825000  │ 7356810000  │ 1670850120000 │ '2022-12-12T13:02:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.2  │  -1500  │  -18825000  │  -586200  │  -7356810000  │
│   62    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  300   │  3765000   │  586500   │   300   │  3765000   │ 7360575000  │ 1670850240000 │ '2022-12-12T13:04:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │  0   │  -300   │  -3765000   │  -586500  │  -7360575000  │
│   63    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  1500  │  18825000  │  588000   │  1500   │  18825000  │ 7379400000  │ 1670850360000 │ '2022-12-12T13:06:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.2  │  -1500  │  -18825000  │  -588000  │  -7379400000  │
│   64    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  2000  │  25100000  │  590000   │  2000   │  25100000  │ 7404500000  │ 1670850480000 │ '2022-12-12T13:08:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.2  │  -2000  │  -25100000  │  -590000  │  -7404500000  │
│   65    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  1400  │  17570000  │  591400   │  1400   │  17570000  │ 7422070000  │ 1670850600000 │ '2022-12-12T13:10:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.2  │  -1400  │  -17570000  │  -591400  │  -7422070000  │
│   66    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  1000  │  12550000  │  592400   │  1000   │  12550000  │ 7434620000  │ 1670850720000 │ '2022-12-12T13:12:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.1  │  -1000  │  -12550000  │  -592400  │  -7434620000  │
│   67    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │ 78100  │ 980155000  │  670500   │  78100  │ 980155000  │ 8414775000  │ 1670850840000 │ '2022-12-12T13:14:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 8.8  │ -78100  │ -980155000  │  -670500  │  -8414775000  │
│   68    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  2100  │  26355000  │  672600   │  2100   │  26355000  │ 8441130000  │ 1670850960000 │ '2022-12-12T13:16:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.2  │  -2100  │  -26355000  │  -672600  │  -8441130000  │
│   69    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  300   │  3765000   │  672900   │   300   │  3765000   │ 8444895000  │ 1670851080000 │ '2022-12-12T13:18:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │  0   │  -300   │  -3765000   │  -672900  │  -8444895000  │
│   70    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  3800  │  47690000  │  676700   │  3800   │  47690000  │ 8492585000  │ 1670851320000 │ '2022-12-12T13:22:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.4  │  -3800  │  -47690000  │  -676700  │  -8492585000  │
