┌─────────┬───────────────┬──────────┬──────────┬──────────┬────────────────────┬──────────────┬────────────────────┬──────────┬────────────────────┬────────────────────────────┬───────────────┬───────────┬───────────┬─────────────────────┬────────────┬────────────────┐
│ (index) │   datetime    │    sd    │    bu    │    uk    │       val_sd       │    val_bu    │       val_uk       │ sum_vol  │        val         │            date            │   acum_val    │ total_vol │   bu-sd   │      bu-sd_val      │ acum_busd  │ acum_busd_val  │
│   53    │ 1672052400000 │  608800  │ 1033000  │   3400   │     7868525100     │ 12524442500  │      59251000      │ 1645200  │    20452218600     │ '2022-12-26T11:00:00.000Z' │ 1931863612300 │ 133146400 │  424200   │     4655917400      │ -28667100  │ -427302301700  │
│   54    │ 1672052520000 │  770800  │  713500  │   1400   │    11174287700     │  9690040700  │      12628000      │ 1485700  │    20876956400     │ '2022-12-26T11:02:00.000Z' │ 1952740568700 │ 134632100 │  -57300   │     -1484247000     │ -28724400  │ -428786548700  │
│   55    │ 1672052640000 │  665500  │  758300  │   500    │     9835611200     │  8682919200  │      20121800      │ 1424300  │    18538652200     │ '2022-12-26T11:04:00.000Z' │ 1971279220900 │ 136056400 │   92800   │     -1152692000     │ -28631600  │ -429939240700  │
│   56    │ 1672052760000 │ 1215200  │  381100  │   1200   │    19264765200     │  4068565600  │      30180000      │ 1597500  │    23363510800     │ '2022-12-26T11:06:00.000Z' │ 1994642731700 │ 137653900 │  -834100  │    -15196199600     │ -29465700  │ -445135440300  │
│   57    │ 1672052880000 │ 1580200  │  421500  │   3200   │    25557406400     │  6710779700  │      46492000      │ 2004900  │    32314678100     │ '2022-12-26T11:08:00.000Z' │ 2026957409800 │ 139658800 │ -1158700  │    -18846626700     │ -30624400  │ -463982067000  │
│   58    │ 1672053000000 │ 1213800  │  451500  │   1400   │    23737432100     │  5738140800  │      62005000      │ 1666700  │    29537577900     │ '2022-12-26T11:10:00.000Z' │ 2056494987700 │ 141325500 │  -762300  │    -17999291300     │ -31386700  │ -481981358300  │
│   59    │ 1672053120000 │ 1040600  │  505100  │   1300   │    17522678700     │  5538158600  │      39890000      │ 1547000  │    23100727300     │ '2022-12-26T11:12:00.000Z' │ 2079595715000 │ 142872500 │  -535500  │    -11984520100     │ -31922200  │ -493965878400  │
│   60    │ 1672053240000 │ 1428200  │  586700  │  144200  │    21361100400     │  7383271500  │     2055615000     │ 2159100  │    30799986900     │ '2022-12-26T11:14:00.000Z' │ 2110395701900 │ 145031600 │  -841500  │    -13977828900     │ -32763700  │ -507943707300  │
├─────────┼───────────────┼──────────┼──────────┼──────────┼────────────────────┼──────────────┼────────────────────┼──────────┼────────────────────┼────────────────────────────┼───────────────┼───────────┼───────────┼─────────────────────┼────────────┼────────────────┤
│ (index) │   datetime    │    sd    │    bu    │    uk    │       val_sd       │    val_bu    │       val_uk       │ sum_vol  │        val         │            date            │   acum_val    │ total_vol │   bu-sd   │      bu-sd_val      │ acum_busd  │ acum_busd_val  │
├─────────┼───────────────┼──────────┼──────────┼──────────┼────────────────────┼──────────────┼────────────────────┼──────────┼────────────────────┼────────────────────────────┼───────────────┼───────────┼───────────┼─────────────────────┼────────────┼────────────────┤
│   61    │ 1672053360000 │ 1104800  │  554200  │   1500   │    17438140100     │  8915751800  │      11100000      │ 1660500  │    26364991900     │ '2022-12-26T11:16:00.000Z' │ 2136760693800 │ 146692100 │  -550600  │     -8522388300     │ -33314300  │ -516466095600  │
