"acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","accum_bu","accum_sd","avg_val_bu","avg_val_sd","avg_val","avg_vol","avg_bu","avg_sd","avg_busd","avg_busd_val","rbusd","bu","bu-sd","bu-sd_val","date","datetime","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
-44321200,-606878087000,1167530240000,1774408327000,3038291172000,80284200,124605400,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,1.7,2247100,1755700,25477474000,"2023-02-13T10:34:00.000Z",1676284440000,491400,2739300,211832300,800,46548358000,35991596000,10514122000,42640000
-43157700,-591987575000,1190052645000,1782040220000,3068463645000,81832800,124990500,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,1,1548600,1163500,14890512000,"2023-02-13T10:36:00.000Z",1676284560000,385100,1934200,213766500,500,30172473000,22522405000,7631893000,18175000
-42380300,-580063898000,1213676739000,1793740637000,3103792356000,83341800,125722100,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.8,1509000,777400,11923677000,"2023-02-13T10:38:00.000Z",1676284680000,731600,2240700,216007200,100,35328711000,23624094000,11700417000,4200000
-41827600,-570077709000,1231393770000,1801471479000,3129296479000,84430800,126258400,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.7,1089000,552700,9986189000,"2023-02-13T10:40:00.000Z",1676284800000,536300,1630300,217637500,5000,25504123000,17717031000,7730842000,56250000
-41483100,-564917147000,1249745317000,1814662464000,3160962611000,85520800,127003900,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.3,1090000,344500,5160562000,"2023-02-13T10:42:00.000Z",1676284920000,745500,1848200,219485700,12700,31666132000,18351547000,13190985000,123600000
-41052500,-558023186000,1267297028000,1825320214000,3189211062000,86556100,127608600,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.4,1035300,430600,6893961000,"2023-02-13T10:44:00.000Z",1676285040000,604700,1642500,221128200,2500,28248451000,17551711000,10657750000,38990000
-41296800,-558007204000,1283929483000,1841936687000,3222461735000,87530300,128827100,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0,974200,-244300,15982000,"2023-02-13T10:46:00.000Z",1676285160000,1218500,2192800,223321000,100,33250673000,16632455000,16616473000,1745000
-41804500,-565976285000,1300464326000,1866440611000,3263500502000,88470500,130275000,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.5,940200,-507700,-7969081000,"2023-02-13T10:48:00.000Z",1676285280000,1447900,2388100,225709100,0,41038767000,16534843000,24503924000,0
-42521700,-575144368000,1312504232000,1887648600000,3296834557000,89148400,131670100,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.6,677900,-717200,-9168083000,"2023-02-13T10:50:00.000Z",1676285400000,1395100,2074200,227783300,1200,33334055000,12039906000,21207989000,86160000
-43868600,-598712066000,1321625240000,1920337306000,3338723710000,89822300,133690900,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,1.5,673900,-1346900,-23567698000,"2023-02-13T10:52:00.000Z",1676285520000,2020800,2704600,230487900,9900,41889153000,9121008000,32688706000,79439000
