[2023-07-26T02:58:19.380] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB|Threshold                    |
[2023-07-26T02:58:21.790] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB |Threshold                    |
[2023-07-26T02:58:21.790] [INFO] default - My Object      |9000000|3319808.189  |0.12     |298.92   |0.140    |1000000|3311258.278  |3164556.962  |3460207.612  |0.12        |163.05      |0.139       |100         |100         |100.000    |331125.828  |858.307  |200_300=0 0.100=0 100_200=0  |
[2023-07-26T02:58:22.091] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB |Threshold                    |
[2023-07-26T02:58:22.091] [INFO] default - My Object      |10000000|3320053.121  |0.12     |298.92   |0.140    |1000000|3322259.136  |3164556.962  |3460207.612  |0.12        |109.32      |0.140       |100         |100         |100.000    |332225.914  |953.674  |200_300=0 0.100=0 100_200=0  |
[2023-07-26T02:58:22.389] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                    |
[2023-07-26T02:58:22.390] [INFO] default - My Object      |11000000|3323262.840  |0.12     |298.92   |0.140    |1000000|3355704.698  |3164556.962  |3460207.612  |0.12        |170.07      |0.139       |100         |100         |100.000    |335570.470  |1049.042  |200_300=0 0.100=0 100_200=0  |
[2023-07-26T02:58:22.684] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                    |
[2023-07-26T02:58:22.684] [INFO] default - My Object      |12000000|3328710.125  |0.12     |298.92   |0.139    |1000000|3389830.508  |3164556.962  |3460207.612  |0.12        |92.49       |0.137       |100         |100         |100.000    |338983.051  |1144.409  |200_300=0 0.100=0 100_200=0  |
[2023-07-26T02:58:22.986] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                    |
[2023-07-26T02:58:22.986] [INFO] default - My Object      |13000000|3327361.147  |0.12     |298.92   |0.139    |1000000|3311258.278  |3164556.962  |3460207.612  |0.12        |120.66      |0.140       |100         |100         |100.000    |331125.828  |1239.777  |200_300=0 0.100=0 100_200=0  |
[2023-07-26T02:58:23.289] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                    |
[2023-07-26T02:58:23.289] [INFO] default - My Object      |14000000|3325415.677  |0.12     |298.92   |0.139    |1000000|3300330.033  |3164556.962  |3460207.612  |0.12        |159.79      |0.140       |100         |100         |100.000    |330033.003  |1335.144  |200_300=0 0.100=0 100_200=0  |
[2023-07-26T02:58:23.586] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                    |
[2023-07-26T02:58:23.586] [INFO] default - My Object      |15000000|3328156.201  |0.12     |298.92   |0.139    |1000000|3367003.367  |3164556.962  |3460207.612  |0.12        |97          |0.138       |100         |100         |100.000    |336700.337  |1430.511  |200_300=0 0.100=0 100_200=0  |
[2023-07-26T02:58:23.886] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                    |
[2023-07-26T02:58:23.887] [INFO] default - My Object      |16000000|3328479.301  |0.12     |298.92   |0.139    |1000000|3333333.333  |3164556.962  |3460207.612  |0.12        |111.3       |0.140       |100         |100         |100.000    |333333.333  |1525.879  |200_300=0 0.100=0 100_200=0  |
[2023-07-26T02:58:24.187] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                    |
[2023-07-26T02:58:24.187] [INFO] default - My Object      |17000000|3328112.764  |0.12     |298.92   |0.139    |1000000|3322259.136  |3164556.962  |3460207.612  |0.12        |164.23      |0.140       |100         |100         |100.000    |332225.914  |1621.246  |200_300=0 0.100=0 100_200=0  |
[2023-07-26T02:58:24.596] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                               |
[2023-07-26T02:58:24.596] [INFO] default - My Object      |18000000|3263234.228  |0.12     |42452.097  |0.142    |1000000|2450980.392  |2450980.392  |3460207.612  |0.12        |42452.097   |0.182       |100         |100         |100.000    |245098.039  |1716.614  |200_300=0 0.100=0 100_200=0 5000-Max=0  |
[2023-07-26T02:58:24.916] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:24.916] [INFO] default - My Object      |19000000|3255096.796  |0.119    |42452.097  |0.142    |1000000|3115264.798  |2450980.392  |3460207.612  |0.119       |2424.14     |0.146       |100         |100         |100.000    |311526.480  |1811.981  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:25.206] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:25.206] [INFO] default - My Object      |20000000|3264240.248  |0.119    |42452.097  |0.142    |1000000|3448275.862  |2450980.392  |3460207.612  |0.119       |129.39      |0.134       |100         |100         |100.000    |344827.586  |1907.349  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:25.500] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:25.500] [INFO] default - My Object      |21000000|3270518.611  |0.119    |42452.097  |0.141    |1000000|3401360.544  |2450980.392  |3460207.612  |0.12        |2416.43     |0.138       |100         |100         |100.000    |340136.054  |2002.716  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:25.817] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:25.817] [INFO] default - My Object      |22000000|3265063.817  |0.119    |42452.097  |0.141    |1000000|3154574.132  |2450980.392  |3460207.612  |0.12        |242.009     |0.142       |100         |100         |100.000    |315457.413  |2098.083  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:26.112] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:26.112] [INFO] default - My Object      |23000000|3270297.170  |0.119    |42452.097  |0.141    |1000000|3389830.508  |2450980.392  |3460207.612  |0.12        |230.28      |0.136       |100         |100         |100.000    |338983.051  |2193.451  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:26.406] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:26.406] [INFO] default - My Object      |24000000|3275556.162  |0.119    |42452.097  |0.141    |1000000|3401360.544  |2450980.392  |3460207.612  |0.12        |166.239     |0.136       |100         |100         |100.000    |340136.054  |2288.818  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:26.699] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:26.699] [INFO] default - My Object      |25000000|3280839.895  |0.119    |42452.097  |0.141    |1000000|3412969.283  |2450980.392  |3460207.612  |0.12        |137.84      |0.135       |100         |100         |100.000    |341296.928  |2384.186  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:26.999] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:27.000] [INFO] default - My Object      |26000000|3282828.283  |0.119    |42452.097  |0.141    |1000000|3333333.333  |2450980.392  |3460207.612  |0.12        |176.13      |0.139       |100         |100         |100.000    |333333.333  |2479.553  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:27.294] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:27.294] [INFO] default - My Object      |27000000|3286670.724  |0.119    |42452.097  |0.140    |1000000|3389830.508  |2450980.392  |3460207.612  |0.119       |204.99      |0.135       |100         |100         |100.000    |338983.051  |2574.921  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:27.591] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:27.591] [INFO] default - My Object      |28000000|3289473.684  |0.119    |42452.097  |0.140    |1000000|3367003.367  |2450980.392  |3460207.612  |0.12        |180.24      |0.137       |100         |100         |100.000    |336700.337  |2670.288  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:27.885] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:27.885] [INFO] default - My Object      |29000000|3293209.176  |0.119    |42452.097  |0.140    |1000000|3401360.544  |2450980.392  |3460207.612  |0.12        |204.36      |0.136       |100         |100         |100.000    |340136.054  |2765.656  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:28.202] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:28.202] [INFO] default - My Object      |30000000|3288391.976  |0.119    |42452.097  |0.140    |1000000|3154574.132  |2450980.392  |3460207.612  |0.12        |168.611     |0.145       |100         |100         |100.000    |315457.413  |2861.023  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:28.490] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:28.490] [INFO] default - My Object      |31000000|3294017.639  |0.119    |42452.097  |0.140    |1000000|3472222.222  |2450980.392  |3472222.222  |0.119       |172.71      |0.133       |100         |100         |100.000    |347222.222  |2956.390  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:28.780] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:28.780] [INFO] default - My Object      |32000000|3298629.007  |0.119    |42452.097  |0.140    |1000000|3448275.862  |2450980.392  |3472222.222  |0.12        |153.64      |0.133       |100         |100         |100.000    |344827.586  |3051.758  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:29.075] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:29.075] [INFO] default - My Object      |33000000|3301320.528  |0.119    |42452.097  |0.140    |1000000|3389830.508  |2450980.392  |3472222.222  |0.12        |166.31      |0.136       |100         |100         |100.000    |338983.051  |3147.125  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:29.372] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:29.372] [INFO] default - My Object      |34000000|3303215.778  |0.119    |42452.097  |0.140    |1000000|3367003.367  |2450980.392  |3472222.222  |0.12        |242.62      |0.137       |100         |100         |100.000    |336700.337  |3242.493  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:29.663] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:29.664] [INFO] default - My Object      |35000000|3306878.307  |0.119    |42452.097  |0.140    |1000000|3436426.117  |2450980.392  |3472222.222  |0.12        |194.08      |0.134       |100         |100         |100.000    |343642.612  |3337.860  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:29.950] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:29.951] [INFO] default - My Object      |36000000|3311562.874  |0.109    |42452.097  |0.139    |1000000|3484320.557  |2450980.392  |3484320.557  |0.109       |176.21      |0.132       |100         |100         |100.000    |348432.056  |3433.228  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:30.235] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:30.236] [INFO] default - My Object      |37000000|3316600.932  |0.109    |42452.097  |0.139    |1000000|3508771.930  |2450980.392  |3508771.930  |0.109       |76.93       |0.131       |100         |100         |100.000    |350877.193  |3528.595  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:30.520] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:30.520] [INFO] default - My Object      |38000000|3321387.991  |0.109    |42452.097  |0.139    |1000000|3508771.930  |2450980.392  |3508771.930  |0.109       |163.59      |0.131       |100         |100         |100.000    |350877.193  |3623.962  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:30.805] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:30.805] [INFO] default - My Object      |39000000|3325942.350  |0.109    |42452.097  |0.139    |1000000|3508771.930  |2450980.392  |3508771.930  |0.109       |147.5       |0.131       |100         |100         |100.000    |350877.193  |3719.330  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:31.085] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:31.085] [INFO] default - My Object      |40000000|3331667.500  |0.109    |42452.097  |0.138    |1000000|3571428.571  |2450980.392  |3571428.571  |0.109       |175.25      |0.129       |100         |100         |100.000    |357142.857  |3814.697  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:31.372] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:31.372] [INFO] default - My Object      |41000000|3335231.433  |0.109    |42452.097  |0.138    |1000000|3484320.557  |2450980.392  |3571428.571  |0.109       |153.55      |0.132       |100         |100         |100.000    |348432.056  |3910.065  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:31.653] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:31.653] [INFO] default - My Object      |42000000|3340225.863  |0.109    |42452.097  |0.138    |1000000|3558718.861  |2450980.392  |3571428.571  |0.109       |162.1       |0.129       |100         |100         |100.000    |355871.886  |4005.432  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:31.935] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:31.935] [INFO] default - My Object      |43000000|3345001.945  |0.109    |42452.097  |0.138    |1000000|3558718.861  |2450980.392  |3571428.571  |0.109       |190.95      |0.130       |100         |100         |100.000    |355871.886  |4100.800  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:32.217] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:32.217] [INFO] default - My Object      |44000000|3349063.784  |0.109    |42452.097  |0.138    |1000000|3533568.905  |2450980.392  |3571428.571  |0.109       |147.52      |0.130       |100         |100         |100.000    |353356.890  |4196.167  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:32.509] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:32.509] [INFO] default - My Object      |45000000|3350707.372  |0.109    |42452.097  |0.138    |1000000|3424657.534  |2450980.392  |3571428.571  |0.109       |217.42      |0.135       |100         |100         |100.000    |342465.753  |4291.534  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:32.791] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:32.792] [INFO] default - My Object      |46000000|3354725.788  |0.109    |42452.097  |0.137    |1000000|3546099.291  |2450980.392  |3571428.571  |0.109       |162.77      |0.130       |100         |100         |100.000    |354609.929  |4386.902  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:33.078] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:33.078] [INFO] default - My Object      |47000000|3357382.670  |0.109    |42452.097  |0.137    |1000000|3484320.557  |2450980.392  |3571428.571  |0.109       |157.82      |0.132       |100         |100         |100.000    |348432.056  |4482.269  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:33.367] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:33.367] [INFO] default - My Object      |48000000|3359462.486  |0.109    |42452.097  |0.137    |1000000|3460207.612  |2450980.392  |3571428.571  |0.109       |161.77      |0.133       |100         |100         |100.000    |346020.761  |4577.637  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:33.653] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
[2023-07-26T02:58:33.653] [INFO] default - My Object      |49000000|3362151.777  |0.109    |42452.097  |0.137    |1000000|3496503.497  |2450980.392  |3571428.571  |0.109       |161.089     |0.132       |100         |100         |100.000    |349650.350  |4673.004  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0  |
[2023-07-26T02:58:33.941] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB  |Threshold                                           |
