"acum_busd","acum_busd_val","acum_val","bu","bu-sd","bu-sd_val","date","datetime","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
-52759400,-742447074000,6262776574000,2432800,604100,12513075000,"2023-01-31T13:12:00.000Z",1675170720000,1828700,4278100,347422600,16600,75902022000,44077631000,31564556000,259835000
-51737500,-720307298000,6346132047000,2892200,1021900,22139776000,"2023-01-31T13:14:00.000Z",1675170840000,1870300,4789100,352211700,26600,83355473000,52647855000,30508079000,199539000
-50564100,-702473518000,6468385462000,4005500,1173400,17833780000,"2023-01-31T13:16:00.000Z",1675170960000,2832100,6842500,359054200,4900,122253415000,70017648000,52183868000,51899000
-47700600,-647210919000,6567692716000,4250300,2863500,55262599000,"2023-01-31T13:18:00.000Z",1675171080000,1386800,5670300,364724500,33200,99307254000,76984617000,21722018000,600619000
-44256700,-585421214000,6681333817000,4879000,3443900,61789705000,"2023-01-31T13:20:00.000Z",1675171200000,1435100,6346200,371070700,32100,113641101000,87406117000,25616412000,618572000
-42025900,-546478691000,6808381638000,4619800,2230800,38942523000,"2023-01-31T13:22:00.000Z",1675171320000,2389000,7020100,378090800,11300,127047821000,82916030000,43973507000,158284000
-41159700,-532330979000,6921183841000,3316100,866200,14147712000,"2023-01-31T13:24:00.000Z",1675171440000,2449900,5785400,383876200,19400,112802203000,63201505000,49053793000,546905000
-40866000,-524209195000,7013543241000,2587400,293700,8121784000,"2023-01-31T13:26:00.000Z",1675171560000,2293700,4903800,388780000,22700,92359400000,50060696000,41938912000,359792000
-40832800,-523553511000,7096956502000,2142700,33200,655684000,"2023-01-31T13:28:00.000Z",1675171680000,2109500,4266800,393046800,14600,83413261000,41926887000,41271203000,215171000
-40382700,-515658750000,7168957603000,2237300,450100,7894761000,"2023-01-31T13:30:00.000Z",1675171800000,1787200,4044800,397091600,20300,72001101000,39727736000,31832975000,440390000
-38409200,-485554398000,7294977698000,4339100,1973500,30104352000,"2023-01-31T13:32:00.000Z",1675171920000,2365600,6705700,403797300,1000,126020095000,78053231000,47948879000,17985000
-36948400,-460216144000,7407455355000,3668100,1460800,25338254000,"2023-01-31T13:34:00.000Z",1675172040000,2207300,5931900,409729200,56500,112477657000,68453062000,43114808000,909787000
-36350200,-450469257000,7502661710000,2765700,598200,9746887000,"2023-01-31T13:36:00.000Z",1675172160000,2167500,4951700,414680900,18500,95206355000,52202506000,42455619000,548230000
-34786900,-427194093000,7580445623000,2944600,1563300,23275164000,"2023-01-31T13:38:00.000Z",1675172280000,1381300,4347600,419028500,21700,77783913000,50192501000,26917337000,674075000
