┌─────────┬──────┬──────┬──────┬──────┬──────┬────────────────────┬───────────┬─────────┬────────────────────┬────────────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬────┬───────┬─────┬─────┬─────┬───────┬────────────────────┬───────────┬────────────────────┐
│ (index) │  c   │  h   │  l   │  o   │  bu  │       val_bu       │ total_vol │ sum_vol │        val         │      acum_val      │   datetime    │            date            │ pbu │ psd │ puk │    bs    │ sb │  abu  │ asd │ auk │ rbu │ bu-sd │     bu-sd_val      │ acum_busd │   acum_busd_val    │
│    9    │ 20.1 │ 20.1 │ 20.1 │ 20.1 │ 500  │      10050000      │   5900    │   500   │      10050000      │     119010000      │ 1674036480000 │ '2023-01-18T10:08:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 0.6 │  500  │      10050000      │   5900    │     119010000      │
│   10    │ 20.2 │ 20.2 │ 20.2 │ 20.2 │ 900  │      18180000      │   6800    │   900   │      18180000      │     137190000      │ 1674036720000 │ '2023-01-18T10:12:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 1.1 │  900  │      18180000      │   6800    │     137190000      │
│   11    │ 20.2 │ 20.2 │ 20.2 │ 20.2 │ 500  │      10100000      │   7300    │   500   │      10100000      │     147290000      │ 1674036840000 │ '2023-01-18T10:14:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 0.6 │  500  │      10100000      │   7300    │     147290000      │
│   12    │ 20.2 │ 20.2 │ 20.2 │ 20.2 │ 400  │      8080000       │   7700    │   400   │      8080000       │     155370000      │ 1674037200000 │ '2023-01-18T10:20:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 0.5 │  400  │      8080000       │   7700    │     155370000      │
│   13    │ 20.1 │ 20.1 │ 20.1 │ 20.1 │ 500  │      10050000      │   8200    │   500   │      10050000      │     165420000      │ 1674037800000 │ '2023-01-18T10:30:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 0.6 │  500  │      10050000      │   8200    │     165420000      │
│   14    │ 20.1 │ 20.1 │ 20.1 │ 20.1 │ 600  │      12060000      │   8800    │   600   │      12060000      │     177480000      │ 1674038040000 │ '2023-01-18T10:34:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 0.7 │  600  │      12060000      │   8800    │     177480000      │
│   15    │ 20.1 │ 20.1 │ 20.1 │ 20.1 │ 500  │      10050000      │   9300    │   500   │      10050000      │     187530000      │ 1674038160000 │ '2023-01-18T10:36:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 0.6 │  500  │      10050000      │   9300    │     187530000      │
│   16    │ 20.1 │ 20.1 │ 20.1 │ 20.1 │ 1000 │      20100000      │   10300   │  1000   │      20100000      │     207630000      │ 1674038280000 │ '2023-01-18T10:38:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 1.2 │ 1000  │      20100000      │   10300   │     207630000      │
│   17    │  20  │  20  │  20  │  20  │ 1200 │      24000000      │   11500   │  1200   │      24000000      │     231630000      │ 1674039000000 │ '2023-01-18T10:50:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 1.5 │ 1200  │      24000000      │   11500   │     231630000      │
│   18    │  20  │  20  │  20  │  20  │ 700  │      14000000      │   12200   │   700   │      14000000      │     245630000      │ 1674039120000 │ '2023-01-18T10:52:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 0.9 │  700  │      14000000      │   12200   │     245630000      │
│   19    │  20  │  20  │  20  │  20  │ 1700 │      34000000      │   13900   │  1700   │      34000000      │     279630000      │ 1674039600000 │ '2023-01-18T11:00:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 2.1 │ 1700  │      34000000      │   13900   │     279630000      │
│   20    │  20  │  20  │  20  │  20  │ 600  │      12000000      │   14500   │   600   │      12000000      │     291630000      │ 1674040200000 │ '2023-01-18T11:10:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 0.7 │  600  │      12000000      │   14500   │     291630000      │
├─────────┼──────┼──────┼──────┼──────┼──────┼────────────────────┼───────────┼─────────┼────────────────────┼────────────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼────┼───────┼─────┼─────┼─────┼───────┼────────────────────┼───────────┼────────────────────┤
│ (index) │  c   │  h   │  l   │  o   │  bu  │       val_bu       │ total_vol │ sum_vol │        val         │      acum_val      │   datetime    │            date            │ pbu │ psd │ puk │    bs    │ sb │  abu  │ asd │ auk │ rbu │ bu-sd │     bu-sd_val      │ acum_busd │   acum_busd_val    │
├─────────┼──────┼──────┼──────┼──────┼──────┼────────────────────┼───────────┼─────────┼────────────────────┼────────────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼────┼───────┼─────┼─────┼─────┼───────┼────────────────────┼───────────┼────────────────────┤
│   21    │ 20.1 │ 20.1 │  20  │  20  │ 1600 │      32100000      │   16100   │  1600   │      32100000      │     323730000      │ 1674040320000 │ '2023-01-18T11:12:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 1.9 │ 1600  │      32100000      │   16100   │     323730000      │
│   22    │ 20.1 │ 20.1 │ 20.1 │ 20.1 │ 300  │      6030000       │   16400   │   300   │      6030000       │     329760000      │ 1674040800000 │ '2023-01-18T11:20:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 0.4 │  300  │      6030000       │   16400   │     329760000      │
│   23    │ 20.1 │ 20.1 │ 20.1 │ 20.1 │ 1000 │      20100000      │   17400   │  1000   │      20100000      │     349860000      │ 1674047040000 │ '2023-01-18T13:04:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 1.2 │ 1000  │      20100000      │   17400   │     349860000      │
│   24    │ 20.1 │ 20.1 │ 20.1 │ 20.1 │ 400  │ 8040000.000000001  │   17800   │   400   │ 8040000.000000001  │     357900000      │ 1674047400000 │ '2023-01-18T13:10:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 0.5 │  400  │ 8040000.000000001  │   17800   │     357900000      │
│   25    │  20  │  20  │  20  │  20  │ 1000 │      20000000      │   18800   │  1000   │      20000000      │     377900000      │ 1674048240000 │ '2023-01-18T13:24:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 1.2 │ 1000  │      20000000      │   18800   │     377900000      │
│   26    │  20  │  20  │  20  │  20  │ 1300 │      26000000      │   20100   │  1300   │      26000000      │     403900000      │ 1674048480000 │ '2023-01-18T13:28:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 1.6 │ 1300  │      26000000      │   20100   │     403900000      │
│   27    │  19  │  19  │  19  │  19  │ 700  │      13300000      │   20800   │   700   │      13300000      │     417200000      │ 1674048960000 │ '2023-01-18T13:36:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 0.9 │  700  │      13300000      │   20800   │     417200000      │
│   28    │  20  │  20  │  20  │  20  │ 1000 │      20000000      │   21800   │  1000   │      20000000      │     437200000      │ 1674049320000 │ '2023-01-18T13:42:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 1.2 │ 1000  │      20000000      │   21800   │     437200000      │
│   29    │  20  │  20  │  20  │  20  │ 100  │      2000000       │   21900   │   100   │      2000000       │     439200000      │ 1674049560000 │ '2023-01-18T13:46:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 0.1 │  100  │      2000000       │   21900   │     439200000      │
│   30    │  20  │  20  │  20  │  20  │ 1000 │      20000000      │   22900   │  1000   │      20000000      │     459200000      │ 1674049920000 │ '2023-01-18T13:52:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 1.2 │ 1000  │      20000000      │   22900   │     459200000      │
│   31    │  20  │  20  │  20  │  20  │ 500  │      10000000      │   23400   │   500   │      10000000      │     469200000      │ 1674050040000 │ '2023-01-18T13:54:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 0.6 │  500  │      10000000      │   23400   │     469200000      │
│   32    │  20  │  20  │  20  │  20  │ 1000 │      20000000      │   24400   │  1000   │      20000000      │     489200000      │ 1674050160000 │ '2023-01-18T13:56:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 1.2 │ 1000  │      20000000      │   24400   │     489200000      │
│   33    │  20  │  20  │  20  │  20  │ 2500 │      50000000      │   26900   │  2500   │      50000000      │     539200000      │ 1674050640000 │ '2023-01-18T14:04:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │  3  │ 2500  │      50000000      │   26900   │     539200000      │
│   34    │  20  │  20  │  20  │  20  │ 600  │      12000000      │   27500   │   600   │      12000000      │     551200000      │ 1674051360000 │ '2023-01-18T14:16:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 0.7 │  600  │      12000000      │   27500   │     551200000      │
│   35    │  20  │  20  │  20  │  20  │ 1000 │      20000000      │   28500   │  1000   │      20000000      │     571200000      │ 1674051480000 │ '2023-01-18T14:18:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 1.2 │ 1000  │      20000000      │   28500   │     571200000      │
│   36    │  20  │  20  │  20  │  20  │ 2300 │      46000000      │   30800   │  2300   │      46000000      │     617200000      │ 1674051600000 │ '2023-01-18T14:20:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 2.8 │ 2300  │      46000000      │   30800   │     617200000      │
│   37    │  20  │  20  │  20  │  20  │ 400  │      8000000       │   31200   │   400   │      8000000       │     625200000      │ 1674053040000 │ '2023-01-18T14:44:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 821.1 │  0  │  0  │ 0.5 │  400  │      8000000       │   31200   │     625200000      │
└─────────┴──────┴──────┴──────┴──────┴──────┴────────────────────┴───────────┴─────────┴────────────────────┴────────────────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴────┴───────┴─────┴─────┴─────┴───────┴────────────────────┴───────────┴────────────────────┘

