┌─────────┬───────────────┬─────────┬──────────┬──────────┬──────────────┬──────────────┬──────────────┬──────────┬──────────────┬────────────────────────────┬────────────────┬───────────┬──────────┬──────────────┬───────────┬───────────────┬───────────────┬───────────────┬───────────┬───────────┬───────────────┬───────────────┬───────────────┬───────────┬───────────┬───────────┬───────────┬───────────────┬───────┬─────┬─────┐
│ (index) │   datetime    │   sd    │    bu    │    uk    │    val_sd    │    val_bu    │    val_uk    │ sum_vol  │     val      │            date            │    acum_val    │ total_vol │  bu-sd   │  bu-sd_val   │ acum_busd │ acum_busd_val │  acum_val_bu  │  acum_val_sd  │ accum_bu  │ accum_sd  │  avg_val_bu   │  avg_val_sd   │    avg_val    │  avg_vol  │  avg_bu   │  avg_sd   │ avg_busd  │ avg_busd_val  │ rbusd │ rbu │ rsd │
│    9    │ 1676885520000 │ 1738800 │ 2124100  │   6400   │ 22080772000  │ 33672954000  │  117648000   │ 3869300  │ 55871374000  │ '2023-02-20T09:32:00.000Z' │  750577771000  │ 57295600  │  385300  │ 11592182000  │  8908700  │ 156658237000  │ 427478687000  │ 270820450000  │ 30103200  │ 21194500  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  0.5  │ 0.6 │ 0.7 │
│   10    │ 1676885640000 │ 1698400 │ 1394600  │   8100   │ 23972386000  │ 25134871000  │  121422000   │ 3101100  │ 49228679000  │ '2023-02-20T09:34:00.000Z' │  799806450000  │ 60396700  │ -303800  │  1162485000  │  8604900  │ 157820722000  │ 452613558000  │ 294792836000  │ 31497800  │ 22892900  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  0.1  │ 0.5 │ 0.7 │
│   11    │ 1676885760000 │ 1219300 │ 2035400  │  21900   │ 18031421000  │ 34155892000  │  991040000   │ 3276600  │ 53178353000  │ '2023-02-20T09:36:00.000Z' │  852984803000  │ 63673300  │  816100  │ 16124471000  │  9421000  │ 173945193000  │ 486769450000  │ 312824257000  │ 33533200  │ 24112200  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  0.7  │ 0.6 │ 0.6 │
│   12    │ 1676885880000 │ 1034500 │ 3186000  │   7500   │ 14323426000  │ 55545911000  │   77718000   │ 4228000  │ 69947055000  │ '2023-02-20T09:38:00.000Z' │  922931858000  │ 67901300  │ 2151500  │ 41222485000  │ 11572500  │ 215167678000  │ 542315361000  │ 327147683000  │ 36719200  │ 25146700  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  1.9  │  1  │ 0.4 │
│   13    │ 1676886000000 │ 1579200 │ 5880000  │  15200   │ 20197406000  │ 82396831000  │  184716000   │ 7474400  │ 102778953000 │ '2023-02-20T09:40:00.000Z' │ 1025710811000  │ 75375700  │ 4300800  │ 62199425000  │ 15873300  │ 277367103000  │ 624712192000  │ 347345089000  │ 42599200  │ 26725900  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  2.8  │ 1.5 │ 0.6 │
│   14    │ 1676886120000 │ 2557900 │ 7649100  │  72800   │ 36972487000  │ 105678363000 │  1078304000  │ 10279800 │ 143729154000 │ '2023-02-20T09:42:00.000Z' │ 1169439965000  │ 85655500  │ 5091200  │ 68705876000  │ 20964500  │ 346072979000  │ 730390555000  │ 384317576000  │ 50248300  │ 29283800  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  3.1  │ 1.9 │ 1.1 │
│   15    │ 1676886240000 │ 2623900 │ 5476000  │  36000   │ 39941005000  │ 75794039000  │  1180636000  │ 8135900  │ 116915680000 │ '2023-02-20T09:44:00.000Z' │ 1286355645000  │ 93791400  │ 2852100  │ 35853034000  │ 23816600  │ 381926013000  │ 806184594000  │ 424258581000  │ 55724300  │ 31907700  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  1.6  │ 1.4 │ 1.2 │
│   16    │ 1676886360000 │ 2419800 │ 4529200  │   8100   │ 33107119000  │ 61600779000  │  146312000   │ 6957100  │ 94854210000  │ '2023-02-20T09:46:00.000Z' │ 1381209855000  │ 100748500 │ 2109400  │ 28493660000  │ 25926000  │ 410419673000  │ 867785373000  │ 457365700000  │ 60253500  │ 34327500  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  1.3  │ 1.1 │  1  │
│   17    │ 1676886480000 │ 2446700 │ 3708300  │  24700   │ 34209339000  │ 52031790000  │  316320000   │ 6179700  │ 86557449000  │ '2023-02-20T09:48:00.000Z' │ 1467767304000  │ 106928200 │ 1261600  │ 17822451000  │ 27187600  │ 428242124000  │ 919817163000  │ 491575039000  │ 63961800  │ 36774200  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  0.8  │  1  │ 1.1 │
│   18    │ 1676886600000 │ 2536600 │ 3667900  │  14900   │ 36468977000  │ 61785591000  │  447987000   │ 6219400  │ 98702555000  │ '2023-02-20T09:50:00.000Z' │ 1566469859000  │ 113147600 │ 1131300  │ 25316614000  │ 28318900  │ 453558738000  │ 981602754000  │ 528044016000  │ 67629700  │ 39310800  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  1.1  │ 1.1 │ 1.1 │
│   19    │ 1676886720000 │ 2082400 │ 3173000  │   7700   │ 29150187000  │ 53605536000  │  178657000   │ 5263100  │ 82934380000  │ '2023-02-20T09:52:00.000Z' │ 1649404239000  │ 118410700 │ 1090600  │ 24455349000  │ 29409500  │ 478014087000  │ 1035208290000 │ 557194203000  │ 70802700  │ 41393200  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  1.1  │  1  │ 0.9 │
│   20    │ 1676886840000 │ 2914000 │ 2117000  │   7100   │ 41750629000  │ 38505572000  │  178795000   │ 5038100  │ 80434996000  │ '2023-02-20T09:54:00.000Z' │ 1729839235000  │ 123448800 │ -797000  │ -3245057000  │ 28612500  │ 474769030000  │ 1073713862000 │ 598944832000  │ 72919700  │ 44307200  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │ -0.1  │ 0.7 │ 1.3 │
├─────────┼───────────────┼─────────┼──────────┼──────────┼──────────────┼──────────────┼──────────────┼──────────┼──────────────┼────────────────────────────┼────────────────┼───────────┼──────────┼──────────────┼───────────┼───────────────┼───────────────┼───────────────┼───────────┼───────────┼───────────────┼───────────────┼───────────────┼───────────┼───────────┼───────────┼───────────┼───────────────┼───────┼─────┼─────┤
│ (index) │   datetime    │   sd    │    bu    │    uk    │    val_sd    │    val_bu    │    val_uk    │ sum_vol  │     val      │            date            │    acum_val    │ total_vol │  bu-sd   │  bu-sd_val   │ acum_busd │ acum_busd_val │  acum_val_bu  │  acum_val_sd  │ accum_bu  │ accum_sd  │  avg_val_bu   │  avg_val_sd   │    avg_val    │  avg_vol  │  avg_bu   │  avg_sd   │ avg_busd  │ avg_busd_val  │ rbusd │ rbu │ rsd │
├─────────┼───────────────┼─────────┼──────────┼──────────┼──────────────┼──────────────┼──────────────┼──────────┼──────────────┼────────────────────────────┼────────────────┼───────────┼──────────┼──────────────┼───────────┼───────────────┼───────────────┼───────────────┼───────────┼───────────┼───────────────┼───────────────┼───────────────┼───────────┼───────────┼───────────┼───────────┼───────────────┼───────┼─────┼─────┤
│   21    │ 1676886960000 │ 2431300 │ 2258000  │   4400   │ 36262310000  │ 35447488000  │   33855000   │ 4693700  │ 71743653000  │ '2023-02-20T09:56:00.000Z' │ 1801582888000  │ 128142500 │ -173300  │  -814822000  │ 28439200  │ 473954208000  │ 1109161350000 │ 635207142000  │ 75177700  │ 46738500  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  -0   │ 0.6 │ 1.1 │
│   22    │ 1676887080000 │ 2421400 │ 1246400  │  15200   │ 37735942000  │ 20299258000  │  116764000   │ 3683000  │ 58151964000  │ '2023-02-20T09:58:00.000Z' │ 1859734852000  │ 131825500 │ -1175000 │ -17436684000 │ 27264200  │ 456517524000  │ 1129460608000 │ 672943084000  │ 76424100  │ 49159900  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │ -0.8  │ 0.4 │ 1.2 │
│   23    │ 1676887200000 │ 2647600 │ 1740500  │   6000   │ 45374271000  │ 25406943000  │   92214000   │ 4394100  │ 70873428000  │ '2023-02-20T10:00:00.000Z' │ 1930608280000  │ 136219600 │ -907100  │ -19967328000 │ 26357100  │ 436550196000  │ 1154867551000 │ 718317355000  │ 78164600  │ 51807500  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │ -0.9  │ 0.5 │ 1.4 │
│   24    │ 1676887320000 │ 2740500 │ 1218900  │   3500   │ 43424409000  │ 20799346000  │   46552000   │ 3962900  │ 64270307000  │ '2023-02-20T10:02:00.000Z' │ 1994878587000  │ 140182500 │ -1521600 │ -22625063000 │ 24835500  │ 413925133000  │ 1175666897000 │ 761741764000  │ 79383500  │ 54548000  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  -1   │ 0.4 │ 1.3 │
│   25    │ 1676887440000 │ 2002500 │  858700  │   9900   │ 29614440000  │ 13713204000  │  148435000   │ 2871100  │ 43476079000  │ '2023-02-20T10:04:00.000Z' │ 2038354666000  │ 143053600 │ -1143800 │ -15901236000 │ 23691700  │ 398023897000  │ 1189380101000 │ 791356204000  │ 80242200  │ 56550500  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │ -0.7  │ 0.3 │ 0.9 │
│   26    │ 1676887560000 │ 2519600 │ 1324000  │  29300   │ 37641361000  │ 24041124000  │  414123000   │ 3872900  │ 62096608000  │ '2023-02-20T10:06:00.000Z' │ 2100451274000  │ 146926500 │ -1195600 │ -13600237000 │ 22496100  │ 384423660000  │ 1213421225000 │ 828997565000  │ 81566200  │ 59070100  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │ -0.6  │ 0.4 │ 1.2 │
│   27    │ 1676887680000 │ 1122700 │  826500  │  11800   │ 19930208000  │ 12817363000  │  348010000   │ 1961000  │ 33095581000  │ '2023-02-20T10:08:00.000Z' │ 2133546855000  │ 148887500 │ -296200  │ -7112845000  │ 22199900  │ 377310815000  │ 1226238588000 │ 848927773000  │ 82392700  │ 60192800  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │ -0.3  │ 0.2 │ 0.6 │
│   28    │ 1676887800000 │ 1006500 │ 1278200  │  18100   │ 15467735000  │ 19523821000  │  221682000   │ 2302800  │ 35213238000  │ '2023-02-20T10:10:00.000Z' │ 2168760093000  │ 151190300 │  271700  │  4056086000  │ 22471600  │ 381366901000  │ 1245762409000 │ 864395508000  │ 83670900  │ 61199300  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  0.2  │ 0.4 │ 0.5 │
│   29    │ 1676887920000 │ 1007300 │ 1311400  │   1700   │ 15726113000  │ 22945051000  │   8187000    │ 2320400  │ 38679351000  │ '2023-02-20T10:12:00.000Z' │ 2207439444000  │ 153510700 │  304100  │  7218938000  │ 22775700  │ 388585839000  │ 1268707460000 │ 880121621000  │ 84982300  │ 62206600  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  0.3  │ 0.4 │ 0.5 │
│   30    │ 1676888040000 │ 1146100 │ 1445600  │   1600   │ 18139531000  │ 28138196000  │   15287000   │ 2593300  │ 46293014000  │ '2023-02-20T10:14:00.000Z' │ 2253732458000  │ 156104000 │  299500  │  9998665000  │ 23075200  │ 398584504000  │ 1296845656000 │ 898261152000  │ 86427900  │ 63352700  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  0.5  │ 0.5 │ 0.6 │
│   31    │ 1676888160000 │ 1014600 │  826500  │  13700   │ 16682234000  │ 13670531000  │  261411000   │ 1854800  │ 30614176000  │ '2023-02-20T10:16:00.000Z' │ 2284346634000  │ 157958800 │ -188100  │ -3011703000  │ 22887100  │ 395572801000  │ 1310516187000 │ 914943386000  │ 87254400  │ 64367300  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │ -0.1  │ 0.3 │ 0.5 │
│   32    │ 1676888280000 │ 889300  │ 1041500  │  10300   │ 15566818000  │ 19198403000  │   53320000   │ 1941100  │ 34818541000  │ '2023-02-20T10:18:00.000Z' │ 2319165175000  │ 159899900 │  152200  │  3631585000  │ 23039300  │ 399204386000  │ 1329714590000 │ 930510204000  │ 88295900  │ 65256600  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  0.2  │ 0.4 │ 0.5 │
│   33    │ 1676888400000 │ 950100  │  865400  │   1900   │ 16108770000  │ 15269614000  │   32565000   │ 1817400  │ 31410949000  │ '2023-02-20T10:20:00.000Z' │ 2350576124000  │ 161717300 │  -84700  │  -839156000  │ 22954600  │ 398365230000  │ 1344984204000 │ 946618974000  │ 89161300  │ 66206700  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  -0   │ 0.3 │ 0.5 │
│   34    │ 1676888520000 │ 1074700 │  959700  │    0     │ 17423024000  │ 17603334000  │      0       │ 2034400  │ 35026358000  │ '2023-02-20T10:22:00.000Z' │ 2385602482000  │ 163751700 │ -115000  │  180310000   │ 22839600  │ 398545540000  │ 1362587538000 │ 964041998000  │ 90121000  │ 67281400  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │   0   │ 0.3 │ 0.5 │
│   35    │ 1676888640000 │ 1319000 │ 1184100  │   2200   │ 22882616000  │ 22709572000  │   20340000   │ 2505300  │ 45612528000  │ '2023-02-20T10:24:00.000Z' │ 2431215010000  │ 166257000 │ -134900  │  -173044000  │ 22704700  │ 398372496000  │ 1385297110000 │ 986924614000  │ 91305100  │ 68600400  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  -0   │ 0.4 │ 0.7 │
│   36    │ 1676888760000 │ 1840900 │ 2489700  │  27700   │ 26479872000  │ 56316912000  │  529385000   │ 4358300  │ 83326169000  │ '2023-02-20T10:26:00.000Z' │ 2514541179000  │ 170615300 │  648800  │ 29837040000  │ 23353500  │ 428209536000  │ 1441614022000 │ 1013404486000 │ 93794800  │ 70441300  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  1.3  │  1  │ 0.8 │
│   37    │ 1676888880000 │ 1571000 │ 1184000  │   3000   │ 31257583000  │ 25402775000  │   92700000   │ 2758000  │ 56753058000  │ '2023-02-20T10:28:00.000Z' │ 2571294237000  │ 173373300 │ -387000  │ -5854808000  │ 22966500  │ 422354728000  │ 1467016797000 │ 1044662069000 │ 94978800  │ 72012300  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │ -0.3  │ 0.5 │  1  │
│   38    │ 1676889000000 │ 1223500 │ 1564100  │   1700   │ 26697061000  │ 39923639000  │   45146000   │ 2789300  │ 66665846000  │ '2023-02-20T10:30:00.000Z' │ 2637960083000  │ 176162600 │  340600  │ 13226578000  │ 23307100  │ 435581306000  │ 1506940436000 │ 1071359130000 │ 96542900  │ 73235800  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  0.6  │ 0.7 │ 0.8 │
│   39    │ 1676889120000 │ 801800  │ 2558400  │   3800   │ 15672550000  │ 48161481000  │  222405000   │ 3364000  │ 64056436000  │ '2023-02-20T10:32:00.000Z' │ 2702016519000  │ 179526600 │ 1756600  │ 32488931000  │ 25063700  │ 468070237000  │ 1555101917000 │ 1087031680000 │ 99101300  │ 74037600  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  1.5  │ 0.9 │ 0.5 │
│   40    │ 1676889240000 │ 1031700 │ 2318300  │   9300   │ 18757151000  │ 40892973000  │  196724000   │ 3359300  │ 59846848000  │ '2023-02-20T10:34:00.000Z' │ 2761863367000  │ 182885900 │ 1286600  │ 22135822000  │ 26350300  │ 490206059000  │ 1595994890000 │ 1105788831000 │ 101419600 │ 75069300  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │   1   │ 0.7 │ 0.6 │
├─────────┼───────────────┼─────────┼──────────┼──────────┼──────────────┼──────────────┼──────────────┼──────────┼──────────────┼────────────────────────────┼────────────────┼───────────┼──────────┼──────────────┼───────────┼───────────────┼───────────────┼───────────────┼───────────┼───────────┼───────────────┼───────────────┼───────────────┼───────────┼───────────┼───────────┼───────────┼───────────────┼───────┼─────┼─────┤
│ (index) │   datetime    │   sd    │    bu    │    uk    │    val_sd    │    val_bu    │    val_uk    │ sum_vol  │     val      │            date            │    acum_val    │ total_vol │  bu-sd   │  bu-sd_val   │ acum_busd │ acum_busd_val │  acum_val_bu  │  acum_val_sd  │ accum_bu  │ accum_sd  │  avg_val_bu   │  avg_val_sd   │    avg_val    │  avg_vol  │  avg_bu   │  avg_sd   │ avg_busd  │ avg_busd_val  │ rbusd │ rbu │ rsd │
├─────────┼───────────────┼─────────┼──────────┼──────────┼──────────────┼──────────────┼──────────────┼──────────┼──────────────┼────────────────────────────┼────────────────┼───────────┼──────────┼──────────────┼───────────┼───────────────┼───────────────┼───────────────┼───────────┼───────────┼───────────────┼───────────────┼───────────────┼───────────┼───────────┼───────────┼───────────┼───────────────┼───────┼─────┼─────┤
│   41    │ 1676889360000 │ 1520600 │ 2460300  │  18900   │ 24796197000  │ 44184840000  │  173677000   │ 3999800  │ 69154714000  │ '2023-02-20T10:36:00.000Z' │ 2831018081000  │ 186885700 │  939700  │ 19388643000  │ 27290000  │ 509594702000  │ 1640179730000 │ 1130585028000 │ 103879900 │ 76589900  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  0.9  │ 0.8 │ 0.8 │
│   42    │ 1676889480000 │ 1121900 │ 2824300  │   6100   │ 18236237000  │ 46923154000  │  147137000   │ 3952300  │ 65306528000  │ '2023-02-20T10:38:00.000Z' │ 2896324609000  │ 190838000 │ 1702400  │ 28686917000  │ 28992400  │ 538281619000  │ 1687102884000 │ 1148821265000 │ 106704200 │ 77711800  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  1.3  │ 0.9 │ 0.6 │
│   43    │ 1676889600000 │ 836200  │ 2357800  │  100500  │ 15413623000  │ 44243480000  │  1993939000  │ 3294500  │ 61651042000  │ '2023-02-20T10:40:00.000Z' │ 2957975651000  │ 194132500 │ 1521600  │ 28829857000  │ 30514000  │ 567111476000  │ 1731346364000 │ 1164234888000 │ 109062000 │ 78548000  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  1.3  │ 0.8 │ 0.5 │
│   44    │ 1676889720000 │ 868300  │ 2844400  │  10800   │ 15953566000  │ 53829936000  │  176948000   │ 3723500  │ 69960450000  │ '2023-02-20T10:42:00.000Z' │ 3027936101000  │ 197856000 │ 1976100  │ 37876370000  │ 32490100  │ 604987846000  │ 1785176300000 │ 1180188454000 │ 111906400 │ 79416300  │ 54573600008.6 │ 32441994672.4 │ 89722533232.8 │ 5168288.8 │ 3090480.2 │ 1908120.7 │ 1182359.5 │ 22131605336.2 │  1.7  │  1  │ 0.5 │
