┌─────────┬─────┬─────┬─────┬─────┬────────┬────────────┬───────────┬─────────┬────────────┬────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬────┬──────────┬─────┬─────────┬─────┬──────┬─────────┬─────────────┬───────────┬───────────────┐
│ (index) │  c  │  h  │  l  │  o  │   sd   │   val_sd   │ total_vol │ sum_vol │    val     │  acum_val  │   datetime    │            date            │ pbu │ psd │ puk │ bs │    sb    │ abu │   asd   │ auk │ rsd  │  bu-sd  │  bu-sd_val  │ acum_busd │ acum_busd_val │
│    9    │ 7.3 │ 7.3 │ 7.3 │ 7.3 │  5000  │  36500000  │  212200   │  5000   │  36500000  │ 1549060000 │ 1672395000000 │ '2022-12-30T10:10:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 12735.3 │  0  │ 0.4  │  -5000  │  -36500000  │  -212200  │  -1549060000  │
│   10    │ 7.3 │ 7.3 │ 7.3 │ 7.3 │  500   │  3650000   │  212700   │   500   │  3650000   │ 1552710000 │ 1672395600000 │ '2022-12-30T10:20:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 12735.3 │  0  │  0   │  -500   │  -3650000   │  -212700  │  -1552710000  │
│   11    │ 7.3 │ 7.3 │ 7.3 │ 7.3 │  200   │  1460000   │  212900   │   200   │  1460000   │ 1554170000 │ 1672395900000 │ '2022-12-30T10:25:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 12735.3 │  0  │  0   │  -200   │  -1460000   │  -212900  │  -1554170000  │
│   12    │ 7.3 │ 7.3 │ 7.3 │ 7.3 │  2500  │  18250000  │  215400   │  2500   │  18250000  │ 1572420000 │ 1672396500000 │ '2022-12-30T10:35:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 12735.3 │  0  │ 0.2  │  -2500  │  -18250000  │  -215400  │  -1572420000  │
│   13    │ 7.3 │ 7.3 │ 7.3 │ 7.3 │  200   │  1460000   │  215600   │   200   │  1460000   │ 1573880000 │ 1672398600000 │ '2022-12-30T11:10:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 12735.3 │  0  │  0   │  -200   │  -1460000   │  -215600  │  -1573880000  │
│   14    │ 7.3 │ 7.3 │ 7.3 │ 7.3 │  100   │   730000   │  215700   │   100   │   730000   │ 1574610000 │ 1672405500000 │ '2022-12-30T13:05:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 12735.3 │  0  │  0   │  -100   │   -730000   │  -215700  │  -1574610000  │
│   15    │ 7.3 │ 7.3 │ 7.3 │ 7.3 │  600   │  4380000   │  216300   │   600   │  4380000   │ 1578990000 │ 1672408800000 │ '2022-12-30T14:00:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 12735.3 │  0  │  0   │  -600   │  -4380000   │  -216300  │  -1578990000  │
│   16    │ 7.3 │ 7.3 │ 7.3 │ 7.3 │  200   │  1460000   │  216500   │   200   │  1460000   │ 1580450000 │ 1672410000000 │ '2022-12-30T14:20:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 12735.3 │  0  │  0   │  -200   │  -1460000   │  -216500  │  -1580450000  │
└─────────┴─────┴─────┴─────┴─────┴────────┴────────────┴───────────┴─────────┴────────────┴────────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴────┴──────────┴─────┴─────────┴─────┴──────┴─────────┴─────────────┴───────────┴───────────────┘

