20221213 PVD -170300 -2776035000 29239040000  37835000
20221213 PVD -171000 -2788050000 28366455000  211200000
20221213 PVD -173200 -2836225000 18608200000 54575000 39600000
20221213 PVD -174000 -2837200000 29102205000 108900000 
20221213 PVD -174100 -2851200000 18514025000 136005000 1095905000
20221213 PVD -17500 -156955000 70520900000 477070000 515900000
20221213 PVD -17700 -259495000 42479530000 424050000 
20221213 PVD 177600 2988935000 47141800000 1237470000 183150000
20221213 PVD -177700 -2910335000 18854190000 85940000 160050000
20221213 PVD -180600 -2946100000 28993305000 59400000 
20221213 PVD -183600 -3007685000 18997740000 23100000 120450000
20221213 PVD -184200 -3005500000 28933905000 156850000 51150000
20221213 PVD -185600 -3028950000 28643655000 18150000 259050000
20221213 PVD -187700 -3061275000 33585930000 77210000 
20221213 PVD 1900 99005000 59556060000 57575000 1269870000
20221213 PVD -190600 -3111200000 28725905000  82250000
20221213 PVD -192400 -3138485000 33508720000 342760000 
20221213 PVD 19300 353350000 43774305000 116200000.00000001 66200000
20221213 PVD -196800 -3210500000 33909025000 86935000 236160000
20221213 PVD -202900 -3316900000 27200585000 220115000 
20221213 PVD 204800 3449095000 50867450000 108945000 1003760000
20221213 PVD -213300 -3481245000 33165960000 303400000 8175000.000000001
20221213 PVD -216200 -3537015000 26980470000 1141390000 
20221213 PVD -231300 -3776470000 32854385000 244359999.99999997 14715000.000000002
20221213 PVD 235100 3955945000 49076200000 188010000 450195000
20221213 PVD -239600 -3928890000 20067445000 74250000 995455000
20221213 PVD -242000 -3966760000 21043045000 95965000 24750000
20221213 PVD -245300 -4006115000 32595310000 382935000 352095000
20221213 PVD -246300 -4037975000 20922330000 323400000 141470000
20221213 PVD -247100 -4036955000 31860280000 680160000 1941080000
20221213 PVD -247600 -4058975000 21653530000 229350000 
20221213 PVD 250800 4218130000 48437995000 1262695000 33500000
20221213 PVD -257300 -4219905000 20457460000 49500000 340515000
20221213 PVD 258300 4343910000 49754745000 533255000 145290000
20221213 PVD -260400 -4270175000 21868030000 1650000 212850000
20221213 PVD -261500 -4288325000 21424180000 29785000 351350000
20221213 PVD -277000 -4543110000 23909165000 808519999.9999999 193520000
20221213 PVD -278600 -4569100000 24099655000 82250000 108240000
20221213 PVD -279300 -4579260000 25151025000 365975000 67240000
20221213 PVD -279500 -4583880000 24324995000 105280000 120060000
20221213 PVD -282300 -4628265000 25328340000 64155000 113159999.99999999
20221213 PVD -285400 -4678405000 25839080000 230300000 280440000
20221213 PVD 28800 484680000 5337180000 225860000 388085000
20221213 PVD -297400 -4877995000 24717810000 49350000 13119999.999999998
20221213 PVD -299600 -4914225000 24655340000  330345000
20221213 PVD -314500 -5158110000 22907125000 36100000 924035000
20221213 PVD 3200 86975000 40432560000 559345000 415405000
20221213 PVD 32400 542870000 3830070000 1041685000 342305000
20221213 PVD 37000 619530000 4259630000 253110000 176449999.99999997
20221213 PVD 38600 646905000 4723235000 245490000 218114999.99999997
20221213 PVD 431400 7474345000 78152200000 7631300000 
20221213 PVD -43400 -683545000 42055480000 343200000 1152035000
20221213 PVD 49100 872145000 55568240000 3295000 827255000
20221213 PVD -49300 -803195000 6845775000 102160000 1390035000
20221213 PVD -5400 -56965000 39457810000 829480000 23100000
20221213 PVD -54200 -863345000 38605230000 1165450000 253430000
20221213 PVD 5500 125290000 40560245000 83000000 44685000
20221213 PVD -62400 -1005150000.0000001 36383335000 1000449999.9999999 16400000
20221213 PVD -67000 -992375000 67447360000 715385000 235365000
20221213 PVD -70800 -1133920000 13185565000 618655000 16600000
20221213 PVD 75800 1311300000 58228615000 100650000 704900000
20221213 PVD 77100 1332840000 56091255000 491855000 31159999.999999996
20221213 PVD 87300 1499100000 53199665000 49800000.00000001 89370000
20221213 PVD 89700 1538670000 53060495000 46415000 177085000
20221213 PVD -90900 -1474480000 16728125000 656830000 1938230000
20221213 PVD 91000 1561135000 53998820000 137365000 166650000
20221213 PVD 92800 1590420000 53694805000 46340000 135710000
20221213 PVD -9400 -156510000 2446080000  156510000
20221213 PVD -95700 -1472395000 66496610000 577755000 288840000
20221213 PVD 97600 1669340000 52836995000 21575000 193635000
20221213 PVD 98100 1678025000 53441480000 210370000 31445000
20221213 PVD 98200 1679790000 53512755000 36520000 34755000
20221213 PVD 99100 1696105000 54737690000 436920000 301950000
20221213 PVD "acum_busd" "acum_busd_val" "acum_val" "val_bu" "val_sd"
20221214 PVD 0 42205000 20992555000 672750000 237950000
20221214 PVD 1006100 17701945000 67957460000 218155000 1431270000
20221214 PVD 10400 207215000 5474445000 130720000 77175000
20221214 PVD -104300 -1756235000 14739275000 597585000 49590000
20221214 PVD 1056900 18606015000 63875390000 381960000 1080460000
20221214 PVD 1063500 18708080000 52789065000 4598165000 1109350000
20221214 PVD 1074100 18915060000 66308035000 1370845000 1061800000
20221214 PVD -109100 -1835345000 24149725000 170280000 
20221214 PVD 1096200 19304515000 62412970000 1877710000 3416560000
20221214 PVD -111500 -1876410000 24256150000 32680000 73745000
20221214 PVD -112400 -1894085000 15329885000 216090000 193230000
20221214 PVD 113100 1973550000 2057070000 2015310000 41760000
20221214 PVD -113700 -1916945000 14920565000 10290000 171000000
20221214 PVD -114900 -1932490000 26510440000 48160000 15435000
20221214 PVD -115300 -1943405000 15564425000 92610000 141930000
20221214 PVD -116800 -1965215000 26446845000 32680000 12005000
20221214 PVD -118000 -1985890000 26402160000 18920000 632835000
20221214 PVD 1182500 20843365000 57118700000 3232460000 1097175000
20221214 PVD -119000 -2005625000 23979445000 44720000 
20221214 PVD -119100 -2008295000 15691055000 30870000 95760000
20221214 PVD -119600 -2013185000 18206705000 1255380000 1260270000
20221214 PVD -121600 -2050345000 23934725000 51600000 1714999.9999999998
20221214 PVD -124500 -2100230000 23881410000 30995000 1338160000
20221214 PVD -136300 -2304230000 14092100000 289035000 66675000
20221214 PVD -149300 -2526590000 13736390000 11970000.000000002 861840000
20221214 PVD 16100 304470000 5033190000 37840000 337855000
20221214 PVD 169900 2987295000 32070025000 1875030000 19030000
20221214 PVD 182500 3163085000 138592990000 921225000 1129210000
20221214 PVD 194400 3371070000 136542555000 110050000 840750000
20221214 PVD 195200 3426315000 32526385000 447690000 8670000
20221214 PVD 203400 3569480000 33006140000 311460000 168295000
20221214 PVD 211800 3680935000 118347240000 271040000 1122480000
20221214 PVD 235700 4101770000 135591755000 209635000 1218375000
20221214 PVD 25000 459660000 6635840000 626080000 104615000
20221214 PVD -25200 -392595000 20081855000 1747870000 127280000
20221214 PVD 254600 4438020000 140379675000 1530810000 255875000
20221214 PVD 254600 4438020000 145008225000  
20221214 PVD 257300 4483900000 119973785000 1214755000 411790000
20221214 PVD 260200 4532375000 116951960000 47655000 1018390000
20221214 PVD 265200 4620865000 130045240000 92300000 1228300000
20221214 PVD 281800 4916145000 130786560000 518300000 223020000
20221214 PVD 292600 5110510000 134163745000 612315000 740175000
20221214 PVD 299900 5238370000 132811255000 157975000 565495000
20221214 PVD 315400 5503110000 115885915000 38830000 234080000
20221214 PVD 322900 5645890000 132087785000 1015485000 285740000
20221214 PVD 326500 5698360000 115613005000 17650000 2267895000
20221214 PVD 329200 5756865000 128724640000  67450000
20221214 PVD 33000 593480000 4176580000 44720000 860000000
20221214 PVD 333000 5824315000 128657190000 330155000 432965000
20221214 PVD 33600 604485000 4657495000 245960000 234955000
20221214 PVD 338800 5927125000 127894070000 955185000 2368310000
20221214 PVD -3400 -29385000 5759205000 24080000 260680000
20221214 PVD -38200 -616080000 22214520000 65590000 833175000
20221214 PVD -41800 -686760000 11855470000  615685000
20221214 PVD 418300 7340250000 124570575000 3511240000 654890000
20221214 PVD 454100 7948605000 113327460000 301600000 3232020000
20221214 PVD -48500 -793065000 22512255000 60375000 237360000
20221214 PVD 490500 8580560000 38201230000 5103085000 92005000
20221214 PVD 50700 902440000 10207780000 32775000 380465000
20221214 PVD -5300 -61805000 5905145000 56760000 89180000
20221214 PVD 5600 124425000 5233875000 10320000 190365000
20221214 PVD -5900 -71075000 11239785000 24080000 
20221214 PVD -6100 -57950000 28972930000 1047075000 72240000
20221214 PVD 615900 10788650000 86555495000 181350000 3350145000
20221214 PVD 617300 10813980000 88311745000 99400000 290280000
20221214 PVD 619700 10879025000 109793840000 413575000 461970000
20221214 PVD 622500 10927420000 108918295000 1233625000 2121145000
20221214 PVD -62600 -1032785000 27853615000 626080000 172000000
20221214 PVD 62700 1131295000 30175965000 1196140000 6895000
20221214 PVD 628100 11004860000 87922065000 791390000 575180000
20221214 PVD 6300 151505000 21315755000  32775000
20221214 PVD 66500 1174220000 9497830000 781525000 870515000
20221214 PVD 667000 11711545000 105145070000 7120000 1810500000
20221214 PVD 672800 11814940000 105563525000 260925000 157530000
20221214 PVD 677100 11877840000 92146465000 220720000 488125000
20221214 PVD 680400 11936650000 92254975000 83660000 24850000
20221214 PVD 689700 12099925000 90810100000 268025000 353095000
20221214 PVD 692200 12145245000 91437620000 336420000 291100000
20221214 PVD 694500 12184995000 90188980000 1624125000 253110000
20221214 PVD -69700 -1157365000 25040385000 423120000 32594999.999999996
20221214 PVD 70900 1250130000 9794540000 186310000 110400000
20221214 PVD 71700 1263210000 7680190000 923950000 120400000
20221214 PVD 7300 153670000 5266550000 30960000 1714999.9999999998
20221214 PVD -7300 -95155000 11215705000 5165000 1002760000
20221214 PVD 768600 13514925000 103327450000 243860000 889275000
20221214 PVD 773700 13580320000 81198475000 1011690000 1223055000
