20221213 VNM 1300 102500000 699220000 400860000 298360000
20221213 VNM -13200 -1028050000 12864640000 1144640000 1769580000
20221213 VNM -134200 -10309490000 224414650000 761210000 3010490000
20221213 VNM -135700 -10446960000 204105660000 428630000 1649370000
20221213 VNM -13600 -1054490000 19872390000 2531000000 297380000
20221213 VNM -136700 -10654840000 51108640000 741950000 1708200000
20221213 VNM -140000 -10817580000 172195480000 1469730000 421200000
20221213 VNM 14000 1110590000 25328630000 392000000 431000000
20221213 VNM -14100 -1084150000 32415350000 187920000 1939360000
20221213 VNM 14500 1149590000 24505630000 736960000 78300000
20221213 VNM 145400 11586070000 259105120000 3188520000 848450000
20221213 VNM 145400 11586070000 281522320000  
20221213 VNM 14900 1181620000 25995500000 368950000 297920000
20221213 VNM -149500 -11539450000 184672250000 85910000 3517800000
20221213 VNM 15200 1205720000 27288520000 15680000.000000002 414990000
20221213 VNM -153400 -11866110000 170304550000 1892430000 296510000
20221213 VNM -160200 -12372790000 186440430000 467420000 1300760000
20221213 VNM -162600 -12674700000 53596840000 234170000 2254030000
20221213 VNM -168900 -13042090000 195906330000 1310170000 1144380000
20221213 VNM -171000 -13207880000 193451780000 1879720000 1766150000
20221213 VNM -171400 -13245270000 187312910000  872480000
20221213 VNM -171700 -13360920000 88862200000 3635290000 350950000
20221213 VNM -172400 -13321450000 189805910000 444160000 435790000
20221213 VNM -172500 -13329820000 188925960000 764250000 848800000
20221213 VNM -173800 -13462030000 168115610000 5188230000 460110000
20221213 VNM -178600 -13899360000 89838000000 218679999.99999997 757120000
20221213 VNM -187900 -14628970000 80535830000 1231320000 241180000
20221213 VNM -188300 -14655910000 90672650000 39049999.99999999 795600000
20221213 VNM -192700 -14998630000 91765130000 374880000 717600000
20221213 VNM -193800 -15090960000 75120780000 1191870000 1073750000
20221213 VNM -194600 -15154980000 72006220000 4410050000 802310000
20221213 VNM -195300 -15209080000 72855160000 397420000 451520000
20221213 VNM -195700 -15237790000 77357690000 1045040000 1191870000
20221213 VNM -200600 -15619110000 79063330000 662160000 1043480000
20221213 VNM -200900 -15635190000 97132390000 804010000 311770000
20221213 VNM -201600 -15696130000 81712190000 54600000 1121760000
20221213 VNM 20300 1605030000 26857850000 642880000 219470000.00000003
20221213 VNM 20300 1762660000 242942900000 5724910000 132840000
20221213 VNM -204300 -15919830000 58711770000 825800000 794010000
20221213 VNM -204700 -15951620000 57068590000 93520000 3370440000
20221213 VNM -206000 -16038090000 83302150000 624000000 965960000
20221213 VNM -207200 -16127430000 96016610000 937070000 288230000
20221213 VNM -213800 -16645260000 84875960000 483320000 1090490000
20221213 VNM -215500 -16776270000 94791310000 616460000 553310000
20221213 VNM -216300 -16839420000 93621540000 7809999.999999999 1848600000
20221213 VNM -222000 -17280640000 99152240000 187200000 1832650000
20221213 VNM -22300 -1746220000 6595450000 368950000 1725500000
20221213 VNM -225100 -17468030000 157366970000 3921120000 263840000
20221213 VNM -226900 -17675930000 62971790000 1065190000 714450000
20221213 VNM -228500 -17731010000 160434350000 1269770000 1167260000
20221213 VNM 22900 1809700000 28362300000 838880000 234900000
20221213 VNM -229800 -17833520000 157997320000 132430000 497920000
20221213 VNM -231400 -18026670000 61192150000 186770000 2293610000
20221213 VNM -231900 -18063490000 65970170000 1181040000 527680000
20221213 VNM -234400 -18190150000 162467270000 708890000 435870000
20221213 VNM -237900 -18463170000 161322510000 78000000 810160000
20221213 VNM -240300 -18716850000 64261450000 124370000 1165290000
20221213 VNM -240900 -18762720000 66793860000 62230000 761460000
20221213 VNM -247000 -19178520000 145542540000 987850000 442890000
20221213 VNM -254000 -19723480000 144111800000 2059050000 481530000
20221213 VNM -263200 -20483900000 102682060000 163280000 3366540000
20221213 VNM -271200 -21061350000 140382410000 2233120000 497780000
20221213 VNM -271300 -21066040000 148348100000 459020000 2346540000
20221213 VNM -272100 -21125310000 153182010000 1010500000 543200000
20221213 VNM -274300 -21301000000 141571220000 474580000 714230000
20221213 VNM -278100 -21592610000 151628310000 1376820000 1903390000
20221213 VNM -2800 -215430000 9276800000 2094310000 563520000
20221213 VNM -293500 -22796690000 137651510000 5049200000 1196580000
20221213 VNM -343000 -26649310000 131405730000 2739500000 108590000
20221213 VNM -344600 -26775240000 123200580000 1377610000 1087770000
20221213 VNM -348300 -27065080000 120735200000 1626850000 108810000
20221213 VNM -367800 -28583120000 118999540000 1733660000 410730000
20221213 VNM -36900 -2882060000 15706190000 493770000.00000006 2347780000
20221213 VNM -373600 -29025040000 127263960000 883500000 867550000
20221213 VNM -373800 -29040990000 125512910000 23290000 2289040000
20221213 VNM -376000 -29227820000 111929190000 239980000 8983900000
20221213 VNM -376900 -29280220000 128557640000 372000000 332820000
20221213 VNM -377400 -29319400000 127852820000 147250000 441610000
20221213 VNM -379700 -29513720000 112509210000 147060000.00000003 432960000
20221213 VNM -384800 -29906050000 116831900000 1099420000 309360000
20221213 VNM -395000 -30696110000 115423120000 865760000 2048150000
20221213 VNM -42100 -3288110000 17036180000 461970000 868020000
20221213 VNM -5000 -389670000 4501000000 1045170000 1491500000
20221213 VNM -51100 -3829410000 237061630000 2703080000 382220000
20221213 VNM -5200 -403110000 9950420000 242970000 430650000
20221213 VNM 59800 4866030000 247953370000 4029420000 926050000
20221213 VNM 6100 490930000 23690370000 1097600000 93960000
20221213 VNM -6700 -512710000 22498810000 595840000 234900000
20221213 VNM 700 56660000 1940780000 597860000 643700000
20221213 VNM 70100 5674340000 250971200000 1913070000 1104760000
20221213 VNM -73100 -5697860000 37169880000 70410000 4684120000
20221213 VNM -80800 -6150270000 233976330000 3118070000 382000000
20221213 VNM 8300 667290000 30288070000 391680000 1534090000
20221213 VNM -94700 -7265640000 178911420000 2446380000 720540000
20221213 VNM -96700 -7401910000 217152870000 1330380000 932820000
20221213 VNM "acum_busd" "acum_busd_val" "acum_val" "val_bu" "val_sd"
20221214 VNM -103600 -8119720000 25743880000  290080000
20221214 VNM -111000 -8698970000 28549850000 431200000 297540000
20221214 VNM -111800 -8761380000 28972900000 180320000 242730000
20221214 VNM -112100 -8786040000 26535800000 62800000 729120000
20221214 VNM -112700 -8832630000 27821110000 423360000 101790000
20221214 VNM -116800 -9154200000 27295960000 196000000 564160000
20221214 VNM 12300 980900000 5304920000 86900000 512850000
20221214 VNM -13400 -1041210000 8271830000 7870000 652380000
20221214 VNM -13500 -1048940000 9820240000 707400000 526550000
20221214 VNM 13900 1104850000 1799430000 1452140000 347290000
20221214 VNM -152000 -11905260000 32703800000 242680000 3386560000
20221214 VNM -15800 -1229790000 8586290000 62940000 251520000
20221214 VNM 16500 1310970000 2414530000 410610000 204490000
20221214 VNM -168000 -13153950000 34499530000 273520000 1522210000
20221214 VNM 17700 1406850000 4705170000 687270000 726720000
20221214 VNM 18200 1446300000 3133380000 427090000 291760000
20221214 VNM -2000 -144940000 6934840000 157400000 125759999.99999999
20221214 VNM -214200 -16756630000 43023960000 2394600000 1372010000
20221214 VNM -220900 -17278200000 45668170000 1061320000 1582890000
20221214 VNM -227300 -17779220000 39257350000 46800000 4672070000
20221214 VNM -228400 -17820600000 102949300000 12088770000 2885420000
20221214 VNM -232900 -18214130000 46713440000 54669999.99999999 990600000
20221214 VNM -23300 -1818550000 10747130000 78640000 848250000
20221214 VNM -233300 -18245250000 46869520000 62480000 93600000
20221214 VNM -2400 -176580000 6651680000 15740000 976320000
20221214 VNM -255700 -19992060000 49458850000 413460000 2160270000
20221214 VNM -257700 -20147830000 49661420000 23400000 179170000
20221214 VNM -26600 -2076100000 14367460000 1139700000 117820000
20221214 VNM -266800 -20737130000 148416310000 11708600000 990350000
20221214 VNM -272800 -21323800000 51336590000 249600000 1425570000
20221214 VNM -277000 -21650360000 51974750000 155800000.00000003 482360000
20221214 VNM -284300 -22100380000 151667160000 943800000 2307050000
20221214 VNM -287900 -22477280000 82484690000 2815800000 1090600000
20221214 VNM -292200 -22756400000 115981140000 4048020000 8983820000
20221214 VNM -294300 -22879120000 152882660000 218380000 997120000
20221214 VNM -298300 -23230370000 116610510000 77700000 551670000
20221214 VNM -300200 -23455220000 54247010000 233700000 2038560000
20221214 VNM -301300 -23378660000 201434510000 5409770000 3239380000
20221214 VNM -301700 -23494550000 116874690000  264180000
20221214 VNM -304000 -23735400000 77612010000 686400000 514140000
20221214 VNM -304700 -23790760000 68821570000 4283890000 670460000
20221214 VNM -306200 -23907660000 76411470000 2971800000 319390000
20221214 VNM -306500 -23926200000 83964810000 15600000 1464520000
20221214 VNM -307000 -23983940000 55773110000 498690000 1027410000
20221214 VNM -308500 -24085890000 78056100000 46800000 397290000
20221214 VNM -310000 -24202480000 78578290000 202800000 319390000
20221214 VNM -311700 -24271450000 117799530000 46740000.00000001 823640000
20221214 VNM -312400 -24243330000 204965120000 1332970000 2197640000
20221214 VNM -314100 -24419830000 155607750000 592190000 2132900000
20221214 VNM -318100 -24729250000 158488130000 872610000 101140000
20221214 VNM -318300 -24698040000 214023850000 2676300000 1196270000
20221214 VNM -320600 -24925260000 156533840000 210330000 715760000
20221214 VNM -321800 -25125760000 70391170000 117300000 1452300000
20221214 VNM -323200 -25242880000 57047610000 7780000 1266720000
20221214 VNM -328000 -25500720000 157514380000 202540000 778000000
20221214 VNM -328000 -25537890000 119159210000 46620000 1313060000
20221214 VNM -329100 -25549050000 192660090000 12696620000 1003620000
20221214 VNM -330300 -25794910000 58113360000 256860000 808890000
20221214 VNM -331300 -25793760000 120721520000 653220000 909090000
20221214 VNM -331500 -25887820000 58907370000 350550000 443460000
20221214 VNM -332000 -25811930000 160085210000 257200000 1339880000
20221214 VNM -333700 -26056830000 62036260000 1005360000 435780000
20221214 VNM -336900 -26303220000 72520230000 475800000 1653260000
20221214 VNM -337200 -26178070000 210151280000 1164200000 1029820000
20221214 VNM -337500 -26197570000 218014180000 1245400000 2744930000
20221214 VNM -338900 -26312450000 207957260000 461510000 2530630000
20221214 VNM -339100 -26364000000 161120260000 241490000.00000003 793560000
20221214 VNM -340200 -26560070000 73120280000 171600000 428450000
20221214 VNM -341000 -26626410000 60595120000 474580000 1213170000
20221214 VNM -342000 -26703400000 62682830000  646570000
20221214 VNM -344800 -26767160000 220885070000 634230000 570850000
20221214 VNM -345600 -26830540000 219679990000 516420000 1149390000
